Raw:-3.91,-6.29,-6.60,-3.91,-6.29,-6.60,-3.91,-6.29,-6.60
Raw:22.32,-24.54,8.36,22.32,-24.54,8.36,22.32,-24.54,8.36
Raw:14.26,-10.89,1.30,14.26,-10.89,1.30,14.26,-10.89,1.30
Raw:24.31,-1.69,9.51,24.31,-1.69,9.51,24.31,-1.69,9.51
Raw:14.80,1.99,6.60,14.80,1.99,6.60,14.80,1.99,6.60
Raw:7.06,-3.37,2.99,7.06,-3.37,2.99,7.06,-3.37,2.99
Raw:6.44,-11.50,1.23,6.44,-11.50,1.23,6.44,-11.50,1.23
Raw:1.15,-6.83,-3.14,1.15,-6.83,-3.14,1.15,-6.83,-3.14
Raw:-0.69,-8.21,2.91,-0.69,-8.21,2.91,-0.69,-8.21,2.91
Raw:-6.44,-10.97,-3.37,-6.44,-10.97,-3.37,-6.44,-10.97,-3.37
Raw:-1.92,-14.65,-0.61,-1.92,-14.65,-0.61,-1.92,-14.65,-0.61
Raw:-5.75,-10.20,-10.51,-5.75,-10.20,-10.51,-5.75,-10.20,-10.51
Raw:-5.06,-0.54,-9.20,-5.06,-0.54,-9.20,-5.06,-0.54,-9.20
Raw:-0.38,0.00,-11.66,-0.38,0.00,-11.66,-0.38,0.00,-11.66
Raw:2.61,3.45,-6.90,2.61,3.45,-6.90,2.61,3.45,-6.90
Raw:4.37,-1.84,-9.20,4.37,-1.84,-9.20,4.37,-1.84,-9.20
Raw:6.90,-4.06,-8.44,6.90,-4.06,-8.44,6.90,-4.06,-8.44
Raw:4.83,-7.21,-7.36,4.83,-7.21,-7.36,4.83,-7.21,-7.36
Raw:-2.76,-4.06,-6.90,-2.76,-4.06,-6.90,-2.76,-4.06,-6.90
Raw:-11.43,-3.68,-5.90,-11.43,-3.68,-5.90,-11.43,-3.68,-5.90
Raw:-8.97,-7.13,-14.72,-8.97,-7.13,-14.72,-8.97,-7.13,-14.72
Raw:-5.44,-7.29,-12.81,-5.44,-7.29,-12.81,-5.44,-7.29,-12.81
Raw:-5.90,-0.31,-13.73,-5.90,-0.31,-13.73,-5.90,-0.31,-13.73
Raw:3.83,-0.31,-3.37,3.83,-0.31,-3.37,3.83,-0.31,-3.37
Raw:8.13,-6.60,-5.37,8.13,-6.60,-5.37,8.13,-6.60,-5.37
Raw:0.92,-10.74,-7.59,0.92,-10.74,-7.59,0.92,-10.74,-7.59
Raw:6.52,-9.66,-1.76,6.52,-9.66,-1.76,6.52,-9.66,-1.76
Raw:10.66,-3.83,-0.23,10.66,-3.83,-0.23,10.66,-3.83,-0.23
Raw:7.21,-2.30,-4.68,7.21,-2.30,-4.68,7.21,-2.30,-4.68
Raw:7.44,-4.98,-1.92,7.44,-4.98,-1.92,7.44,-4.98,-1.92
Raw:1.69,-4.75,-5.75,1.69,-4.75,-5.75,1.69,-4.75,-5.75
Raw:8.59,-1.61,-1.23,8.59,-1.61,-1.23,8.59,-1.61,-1.23
Raw:-2.45,-0.23,-12.65,-2.45,-0.23,-12.65,-2.45,-0.23,-12.65
Raw:-6.44,-28.14,7.36,-6.44,-28.14,7.36,-6.44,-28.14,7.36
Raw:-1.69,-17.41,3.91,-1.69,-17.41,3.91,-1.69,-17.41,3.91
Raw:-8.13,-8.67,-4.52,-8.13,-8.67,-4.52,-8.13,-8.67,-4.52
Raw:-3.37,-10.58,3.07,-3.37,-10.58,3.07,-3.37,-10.58,3.07
Raw:-6.44,-14.95,5.06,-6.44,-14.95,5.06,-6.44,-14.95,5.06
Raw:-0.15,-13.04,-0.31,-0.15,-13.04,-0.31,-0.15,-13.04,-0.31
Raw:-1.07,0.23,-1.38,-1.07,0.23,-1.38,-1.07,0.23,-1.38
Raw:-1.23,-9.89,4.29,-1.23,-9.89,4.29,-1.23,-9.89,4.29
Raw:-0.54,-6.14,-4.14,-0.54,-6.14,-4.14,-0.54,-6.14,-4.14
Raw:9.51,-10.51,3.76,9.51,-10.51,3.76,9.51,-10.51,3.76
Raw:12.58,-12.12,10.51,12.58,-12.12,10.51,12.58,-12.12,10.51
Raw:11.27,-7.59,-1.00,11.27,-7.59,-1.00,11.27,-7.59,-1.00
Raw:-0.23,-10.66,1.38,-0.23,-10.66,1.38,-0.23,-10.66,1.38
Raw:0.92,-5.75,1.38,0.92,-5.75,1.38,0.92,-5.75,1.38
Raw:-4.06,-10.05,4.14,-4.06,-10.05,4.14,-4.06,-10.05,4.14
Raw:2.07,-4.91,3.14,2.07,-4.91,3.14,2.07,-4.91,3.14
Raw:-2.38,-10.43,1.46,-2.38,-10.43,1.46,-2.38,-10.43,1.46
Raw:-4.22,-11.12,1.69,-4.22,-11.12,1.69,-4.22,-11.12,1.69
Raw:0.69,-11.35,10.12,0.69,-11.35,10.12,0.69,-11.35,10.12
Raw:-3.45,-4.98,13.34,-3.45,-4.98,13.34,-3.45,-4.98,13.34
Raw:1.53,-14.42,23.62,1.53,-14.42,23.62,1.53,-14.42,23.62
Raw:-3.99,-9.74,14.88,-3.99,-9.74,14.88,-3.99,-9.74,14.88
Raw:-4.60,-7.36,15.80,-4.60,-7.36,15.80,-4.60,-7.36,15.80
Raw:-11.89,-21.40,8.82,-11.89,-21.40,8.82,-11.89,-21.40,8.82
Raw:-6.06,-10.43,-10.12,-6.06,-10.43,-10.12,-6.06,-10.43,-10.12
Raw:-0.38,4.52,-17.94,-0.38,4.52,-17.94,-0.38,4.52,-17.94
Raw:5.83,-5.67,-0.46,5.83,-5.67,-0.46,5.83,-5.67,-0.46
Raw:5.52,-21.47,5.75,5.52,-21.47,5.75,5.52,-21.47,5.75
Raw:7.29,-10.66,1.00,7.29,-10.66,1.00,7.29,-10.66,1.00
Raw:5.98,-4.91,-7.29,5.98,-4.91,-7.29,5.98,-4.91,-7.29
Raw:4.14,-4.91,-5.90,4.14,-4.91,-5.90,4.14,-4.91,-5.90
Raw:4.29,-10.51,-1.99,4.29,-10.51,-1.99,4.29,-10.51,-1.99
Raw:5.44,-10.35,-0.15,5.44,-10.35,-0.15,5.44,-10.35,-0.15
Raw:6.98,-9.36,-0.54,6.98,-9.36,-0.54,6.98,-9.36,-0.54
Raw:5.37,-6.90,-3.76,5.37,-6.90,-3.76,5.37,-6.90,-3.76
Raw:5.52,-7.90,-3.76,5.52,-7.90,-3.76,5.52,-7.90,-3.76
Raw:5.21,-8.13,-3.22,5.21,-8.13,-3.22,5.21,-8.13,-3.22
Raw:15.34,-23.77,15.57,15.34,-23.77,15.57,15.34,-23.77,15.57
Raw:-1.69,-5.06,-0.46,-1.69,-5.06,-0.46,-1.69,-5.06,-0.46
Raw:5.37,-7.59,3.30,5.37,-7.59,3.30,5.37,-7.59,3.30
Raw:8.13,-12.19,0.15,8.13,-12.19,0.15,8.13,-12.19,0.15
Raw:2.07,-8.36,-9.36,2.07,-8.36,-9.36,2.07,-8.36,-9.36
Raw:5.06,-8.82,-2.45,5.06,-8.82,-2.45,5.06,-8.82,-2.45
Raw:6.52,-7.75,-5.98,6.52,-7.75,-5.98,6.52,-7.75,-5.98
Raw:7.59,-7.36,-2.68,7.59,-7.36,-2.68,7.59,-7.36,-2.68
Raw:4.06,-5.52,-3.30,4.06,-5.52,-3.30,4.06,-5.52,-3.30
Raw:-2.53,-1.07,-4.98,-2.53,-1.07,-4.98,-2.53,-1.07,-4.98
Raw:-4.91,-0.23,-7.59,-4.91,-0.23,-7.59,-4.91,-0.23,-7.59
Raw:-2.38,-2.53,-4.68,-2.38,-2.53,-4.68,-2.38,-2.53,-4.68
Raw:-4.60,-4.37,1.46,-4.60,-4.37,1.46,-4.60,-4.37,1.46
Raw:-12.19,-2.45,0.31,-12.19,-2.45,0.31,-12.19,-2.45,0.31
Raw:-10.51,-2.91,-1.38,-10.51,-2.91,-1.38,-10.51,-2.91,-1.38
Raw:-3.53,-4.22,-4.91,-3.53,-4.22,-4.91,-3.53,-4.22,-4.91
Raw:-10.35,-0.38,6.14,-10.35,-0.38,6.14,-10.35,-0.38,6.14
Raw:-13.65,-4.29,1.07,-13.65,-4.29,1.07,-13.65,-4.29,1.07
Raw:-8.05,-6.14,1.38,-8.05,-6.14,1.38,-8.05,-6.14,1.38
Raw:-7.59,-3.76,7.36,-7.59,-3.76,7.36,-7.59,-3.76,7.36
Raw:-7.13,-2.99,7.52,-7.13,-2.99,7.52,-7.13,-2.99,7.52
Raw:-5.44,-4.98,6.67,-5.44,-4.98,6.67,-5.44,-4.98,6.67
Raw:-5.06,-4.98,6.90,-5.06,-4.98,6.90,-5.06,-4.98,6.90
Raw:-4.98,-4.22,9.13,-4.98,-4.22,9.13,-4.98,-4.22,9.13
Raw:-4.98,-3.37,8.51,-4.98,-3.37,8.51,-4.98,-3.37,8.51
Raw:-6.21,-2.76,8.90,-6.21,-2.76,8.90,-6.21,-2.76,8.90
Raw:-7.82,-3.30,10.28,-7.82,-3.30,10.28,-7.82,-3.30,10.28
Raw:-1.61,-3.37,4.60,-1.61,-3.37,4.60,-1.61,-3.37,4.60
Raw:-4.52,0.38,7.59,-4.52,0.38,7.59,-4.52,0.38,7.59
Raw:-11.89,2.53,6.75,-11.89,2.53,6.75,-11.89,2.53,6.75
